spec_key,spec_path,normalized_speed,partner_spec_key,pair_id,pairwise_source_csv,pair_time_s,partner_pair_time_s,partner_runtime_ratio,valid_for_label
mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,0.9442436919042528,mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_cifar100_bs64_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1281.29,1514.8,1.1822460176853016,True
mobilenet_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs64_50e_1gpu.yaml,0.9653155532083444,mobilenet_cifar100_bs32_20e_1gpu.yaml,mobilenet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_cifar100_bs64_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1514.8,1281.29,0.8458476366517031,True
resnet18_cifar100_bs64_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs64_50e_1gpu.yaml,0.9657494457551364,resnet34_cifar100_bs128_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,843.49,734.74,0.8710713819962299,True
resnet34_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs128_50e_1gpu.yaml,0.9136293110488064,resnet18_cifar100_bs64_50e_1gpu.yaml,resnet18_cifar100_bs64_50e_1gpu__PLUS__resnet34_cifar100_bs128_50e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,734.74,843.49,1.1480115414976726,True
efficientnet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs32_20e_1gpu.yaml,1.0,mobilenet_imagenet_bs64_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_imagenet_bs64_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1707.13,2659.33,1.5577782594178533,True
mobilenet_imagenet_bs64_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_imagenet_bs64_1gpu.yaml,0.9582526425829062,efficientnet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs32_20e_1gpu__PLUS__mobilenet_imagenet_bs64_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,2659.33,1707.13,0.6419398871144236,False
efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,0.9907307203688892,resnet34_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,850.12,1060.82,1.2478473627252622,True
resnet34_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet34_cifar100_bs32_20e_1gpu.yaml,0.9807790200033936,efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet34_cifar100_bs32_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1060.82,850.12,0.8013800644784224,True
efficientnet_cifar100_bs128_50e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs128_50e_1gpu.yaml,0.9363979001211468,mobilenet_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs32_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1040.06,1176.91,1.1315789473684212,True
mobilenet_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/mobilenet_cifar100_bs32_20e_1gpu.yaml,1.0,efficientnet_cifar100_bs128_50e_1gpu.yaml,efficientnet_cifar100_bs128_50e_1gpu__PLUS__mobilenet_cifar100_bs32_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,1176.91,1040.06,0.883720930232558,True
efficientnet_cifar100_bs64_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/efficientnet_cifar100_bs64_20e_1gpu.yaml,0.9758539185243544,resnet18_cifar100_bs32_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,863.08,665.58,0.771168373731288,False
resnet18_cifar100_bs32_20e_1gpu.yaml,evaluation/workloads/training/specs/yaml_legacy_11gb/resnet18_cifar100_bs32_20e_1gpu.yaml,1.0,efficientnet_cifar100_bs64_20e_1gpu.yaml,efficientnet_cifar100_bs64_20e_1gpu__PLUS__resnet18_cifar100_bs32_20e_1gpu,evaluation/lucid/legacy_rtx2080ti/results/pairwise_results.csv,665.58,863.08,1.2967336758917034,True
