threshold_dir,run_dir,tau_smact,tau_smocc,tau_drama,num_trials,planned_workload_count_sum,admitted_workload_count_sum,admission_fraction,completion_fraction,mean_throughput_gain,median_throughput_gain,mean_slowdown,median_max_slowdown,max_slowdown,p95_max_slowdown,p95_slowdown_mean,failed_started_rows,reject_retry_count,score,manifest,solo_runtime_csv
smact_0p10_smocc_0p10_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p20,0.1,0.1,0.2,5,22,22,1.0,1.0,1.730198343350714,1.6029920182782582,1.2242200882321899,1.4227457329399058,2.295709169089657,2.1792042185741507,1.4988669496599625,0,673,0.7536661728091667,,
smact_0p10_smocc_0p10_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p30,0.1,0.1,0.3,5,22,22,1.0,1.0,1.7586746153783008,1.672268618782976,1.2831071197087949,1.4216412267722285,2.4218061556061925,2.2843645530003744,1.5283137960565234,0,587,0.7261830643658985,,
smact_0p10_smocc_0p10_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p10_smocc_0p10_drama_0p40,0.1,0.1,0.4,5,22,22,1.0,1.0,1.7354093868891645,1.674893876276962,1.2980612875623243,1.4184365436871635,2.446337994760685,2.300069759452299,1.5300745624579581,0,575,0.7093906854269056,,
smact_0p40_smocc_0p10_drama_0p10,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p40_smocc_0p10_drama_0p10,0.4,0.1,0.1,5,22,22,1.0,1.0,1.66315683028959,1.5068486188280714,1.0149983566119651,1.071668246280601,1.1588556148375522,1.1418551116747848,1.0758358479922658,0,1256,1.4351717409789058,,
smact_0p40_smocc_0p10_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p40_smocc_0p10_drama_0p20,0.4,0.1,0.2,5,22,22,1.0,1.0,1.650996826316539,1.4841013256048718,1.0037961860390723,1.0545798855928128,1.1536783280581702,1.1372262876560784,1.0625389915850936,0,1266,1.4310720641649197,,
smact_0p40_smocc_0p10_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p40_smocc_0p10_drama_0p30,0.4,0.1,0.3,5,22,22,1.0,1.0,1.6418287411130563,1.5258921399868584,0.9999617715337454,1.05226486724806,1.075033389394498,1.0744138682785096,1.0457022529252127,0,1307,1.5272351140998515,,
smact_0p50_smocc_0p20_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p20,0.5,0.2,0.2,5,22,22,1.0,1.0,1.7166635559729364,1.513923596929302,1.0305237877549107,1.0776429366463949,1.1737114838728997,1.159280482632473,1.0922565734382206,0,1131,1.4625941550034562,,
smact_0p50_smocc_0p20_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p30,0.5,0.2,0.3,5,22,22,1.0,1.0,1.7080606626466852,1.4807300515135768,1.0256260646834459,1.0812730547932583,1.1694552226736357,1.1533219946944948,1.0794751873899175,0,1123,1.4605609770519279,,
smact_0p50_smocc_0p20_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p40,0.5,0.2,0.4,5,22,22,1.0,1.0,1.6794997640911453,1.4796693371194731,1.0144143363200602,1.0672932365171777,1.0761765023634515,1.0749095549685836,1.05465090506891,0,1193,1.5606173898079931,,
smact_0p50_smocc_0p20_drama_0p50,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p50,0.5,0.2,0.5,5,22,22,1.0,1.0,1.7728628535347657,1.514353235810252,1.105645401815338,1.0846929829815812,1.7470541672240003,1.6821656016103559,1.2647657007697717,0,866,1.01477268810261,,
smact_0p50_smocc_0p20_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p20_drama_0p60,0.5,0.2,0.6,5,22,22,1.0,1.0,1.719198257850407,1.5192227890322905,1.0295384416624855,1.0882495900749578,1.1501520854997485,1.1379815053533906,1.0845841656509967,0,1119,1.4947573277697483,,
smact_0p50_smocc_0p35_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p35_drama_0p20,0.5,0.35,0.2,5,22,22,1.0,1.0,1.821916317353723,1.515169265674132,1.1507018270754494,1.401592469409735,1.72313607104778,1.6627445761602626,1.3222394937391913,0,740,1.057325853695279,,
smact_0p50_smocc_0p35_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p35_drama_0p30,0.5,0.35,0.3,5,22,22,1.0,1.0,1.8196982802081674,1.498679183891518,1.1430930430734125,1.344498552411488,1.735807286894405,1.672823485376299,1.3122979541291961,0,741,1.0483296699738223,,
smact_0p50_smocc_0p35_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p35_drama_0p40,0.5,0.35,0.4,5,22,22,1.0,1.0,1.8539453043767296,1.594436711079133,1.1523483941537824,1.3274276673198535,1.7180352470050848,1.6586391855217455,1.309335146259788,0,699,1.0791078399634502,,
smact_0p50_smocc_0p35_drama_0p50,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p35_drama_0p50,0.5,0.35,0.5,5,22,22,1.0,1.0,1.9129092597434316,1.6713069240780234,1.3233630523107967,1.422275345326558,2.426269466327488,2.2902825201505985,1.5562282430659224,0,456,0.7884158319145392,,
smact_0p50_smocc_0p35_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p35_drama_0p60,0.5,0.35,0.6,5,22,22,1.0,1.0,1.7683989214344098,1.4906312130150174,1.0404319125705714,1.0813152001098256,1.2235046650820725,1.2002032125831437,1.0977486404044476,0,1030,1.445355274812774,,
smact_0p50_smocc_0p45_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p45_drama_0p20,0.5,0.45,0.2,5,22,22,1.0,1.0,1.9026509268191365,1.6612207064549191,1.311307590636071,1.4192285220035434,2.406161466048069,2.270128000032081,1.544228415732725,0,486,0.7907411674845292,,
smact_0p50_smocc_0p45_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p45_drama_0p30,0.5,0.45,0.3,5,22,22,1.0,1.0,1.9152266579585646,1.671391957210235,1.3723674074007468,1.42302728719937,2.426921120381959,2.370194929258861,1.6323591862190026,0,427,0.7891590055704564,,
smact_0p50_smocc_0p45_drama_0p40,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p45_drama_0p40,0.5,0.45,0.4,5,22,22,1.0,1.0,1.9328103604297475,1.6717591950592603,1.3815903601049144,1.4272207330299966,2.434465696000938,2.3762434201537914,1.6376551992613237,0,376,0.793936165789786,,
smact_0p50_smocc_0p45_drama_0p50,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p45_drama_0p50,0.5,0.45,0.5,5,22,22,1.0,1.0,1.9842412293683585,1.66515021757499,1.5039762599074327,1.422931324653507,2.540209629995973,2.517189775781247,1.7149359338777201,0,208,0.7811328663341474,,
smact_0p50_smocc_0p45_drama_0p60,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p45_drama_0p60,0.5,0.45,0.6,5,22,22,1.0,1.0,1.889522548766907,1.6065382819163334,1.1755757909681255,1.4235815951958346,1.7302862238507504,1.6950691013617643,1.3797052875386882,0,591,1.0920288925156998,,
smact_0p50_smocc_0p55_drama_0p20,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p55_drama_0p20,0.5,0.55,0.2,5,22,22,1.0,1.0,1.9585476453010444,1.6691291550951652,1.4325530731271086,1.4248353854567606,2.424259350904624,2.4010469475213356,1.6664963425441157,0,326,0.807895262761471,,
smact_0p50_smocc_0p55_drama_0p30,evaluation/threshold_sensitivity/results/threshold_sweep_v1_fixed_grid/smact_0p50_smocc_0p55_drama_0p30,0.5,0.55,0.3,5,22,22,1.0,1.0,1.962346712801342,1.6652324916821022,1.5073427554458487,1.4228057326847714,2.523383843018373,2.5044108643360175,1.7091061453132277,0,253,0.7776647687709928,,
