task_file,workload,num_gpus,estimator,yaml_field,peak_memory_mib,estimate_mib,error_mib,abs_error_mib,estimate_to_peak_ratio,underestimates,severe_underestimates,overestimates,severe_overestimates,extreme_overestimates
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_20e_1gpu.yaml,mobilenet_cifar100_bs64_20e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,602.0,8000.0,7398.0,7398.0,13.289036544850498,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,1,HorusMem,horus_mib,602.0,1881.9978,1279.9978,1279.9978,3.12624219269103,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,1,FakeTensorMem,faketensor_mib,602.0,25.9091568,-576.0908432,576.0908432,0.04303846644518273,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_cifar100_bs64_50e_1gpu.yaml,mobilenet_cifar100_bs64_50e_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,602.0,8000.0,7398.0,7398.0,13.289036544850498,False,False,True,True,True
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,mobilenet_imagenet_bs128_1gpu.yaml,1,HorusMem,horus_mib,11598.0,12028.1592,430.15920000000006,430.15920000000006,1.0370890843248837,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,mobilenet_imagenet_bs128_1gpu.yaml,1,FakeTensorMem,faketensor_mib,11598.0,9686.067543,-1911.9324570000008,1911.9324570000008,0.8351498140196585,True,False,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs128_1gpu.yaml,mobilenet_imagenet_bs128_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,11598.0,16000.0,4402.0,4402.0,1.3795481979651665,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,1,HorusMem,horus_mib,3354.0,3617.0674,263.0673999999999,263.0673999999999,1.0784339296362553,False,False,True,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,1,FakeTensorMem,faketensor_mib,3354.0,2425.279457,-928.7205429999999,928.7205429999999,0.7231006132975552,True,True,False,False,False
/home/ehyo/AEGIS/evaluation/workloads/training/specs/yaml/mobilenet_imagenet_bs32_1gpu.yaml,mobilenet_imagenet_bs32_1gpu.yaml,1,GPUMemNet,gpumemnet_mib,3354.0,8000.0,4646.0,4646.0,2.385211687537269,False,False,True,True,True
