metric,summary_window_seconds,reference_window_seconds,n,mean_abs_error,median_abs_error,p95_abs_error,mean_abs_relative_error,base_metric,risk_component
smact_p95,20.0,200.0,50,0.0084417157629667,0.003275,0.0378849999999999,0.0249478495446474,smact,p95
smact_p95,30.0,200.0,50,0.004432,0.0021749999999999,0.01213,0.0134973215830907,smact,p95
smact_p95,40.0,200.0,50,0.0046572729928421,0.0024499999999999,0.01461,0.0143061293949537,smact,p95
smact_p95,60.0,200.0,50,0.0036790470177093,0.0023249999999999,0.0127075,0.0111284485484162,smact,p95
smact_p95,120.0,200.0,50,0.0025228213970911,0.0011249999999999,0.0076499999999999,0.0092721220679237,smact,p95
smact_p95,200.0,200.0,50,0.0,0.0,0.0,0.0,smact,p95
smact_ewma,5.0,200.0,50,0.068581470555953,0.0330175105256037,0.212363366179637,0.2222291768994176,smact,ewma
smact_ewma,10.0,200.0,50,0.037252269852296,0.0218144145495176,0.1002036512430797,0.1250310285821963,smact,ewma
smact_ewma,20.0,200.0,50,0.019292481121015,0.0110085632124515,0.059920248918029,0.0630593425065432,smact,ewma
smact_ewma,30.0,200.0,50,0.016237682441839,0.0065502010778777,0.0531003677205087,0.0555893237336287,smact,ewma
smact_ewma,40.0,200.0,50,0.015415980810887,0.0092712499964426,0.0483135035282389,0.0540108894572553,smact,ewma
smact_ewma,60.0,200.0,50,0.011964925386971,0.0048069556752899,0.0491951094848095,0.0443334334798824,smact,ewma
smact_ewma,120.0,200.0,50,0.010024505670899,0.0047334441398409,0.0465424407900698,0.0401871474723573,smact,ewma
smact_ewma,200.0,200.0,50,0.0,0.0,0.0,0.0,smact,ewma
smact_risk,5.0,200.0,50,0.0706577393373085,0.0299328036780436,0.2147192951560988,0.1760922204541463,smact,risk
smact_risk,10.0,200.0,50,0.0280281307417469,0.0160854508595336,0.0931404926898287,0.0723836359804546,smact,risk
smact_risk,20.0,200.0,50,0.0127839529662906,0.0092554916521893,0.0374461549697659,0.0381876089639398,smact,risk
smact_risk,30.0,200.0,50,0.0087351490437102,0.0053277809048642,0.0254065852419116,0.0270935932419563,smact,risk
smact_risk,40.0,200.0,50,0.0088732941483313,0.0054319896971678,0.0292728957400992,0.0289812219935315,smact,risk
smact_risk,60.0,200.0,50,0.0066456396035711,0.0037061738741246,0.0240083632289678,0.0242665344186282,smact,risk
smact_risk,120.0,200.0,50,0.0044903468679196,0.0029231500406667,0.0156257563867043,0.0174551362083976,smact,risk
smact_risk,200.0,200.0,50,0.0,0.0,0.0,0.0,smact,risk
smocc_mean,5.0,200.0,50,0.0378194379137244,0.0166122410220994,0.1678813036255657,0.2305884156023543,smocc,mean
smocc_mean,10.0,200.0,50,0.0190041885516584,0.0094407482196258,0.0792875984848484,0.1091558514649334,smocc,mean
smocc_mean,20.0,200.0,50,0.0094287270594695,0.0044123985311171,0.0376325984848484,0.0556653822561415,smocc,mean
